"CODE","DESCRIPTION","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
0,"No damage","SVC_NIMS_MAESTRO",2017-05-18 20:07:54,"798795",,,
10000,"General Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
11000,"Bark Beetles","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
12000,"Defoliators","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
13000,"Chewing Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
14000,"Sucking Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
15000,"Boring Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
16000,"Seed/Cone/Flower/Fruit Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
17000,"Gallmaker Insects","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
18000,"Insect Predators","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
19000,"General Diseases","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
20000,"Biotic Damage","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
21000,"Root/Butt Diseases","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
22000,"Cankers","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
22500,"Stem Decay","FS_NIMS_PNWRS",2016-02-16 08:51:24,"798795",,,
23000,"Parasitic/Epiphytic Plants","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
24000,"Decline Complexes/Dieback/Wilts","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
25000,"Foliage diseases","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
26000,"Stem Rusts","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
27000,"Broom Rusts","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
30000,"Fire","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
41000,"Wild Animals","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
42000,"Domestic Animals","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
50000,"Abiotic Damage","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
60000,"Competition","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
70000,"Human Activities","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
71000,"Harvest","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
80000,"Multi-Damage (Insect/Disease)","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
85000,"Invasive Plants","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
90000,"Other Damages and Symptoms","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
99000,"UNKNOWN","FS_NIMS_NRS",2013-07-31 11:47:37,"440",,,
