"ATTRIBUTE_NBR","FIAorRPA","ESTIMATE","STATECD","EVAL_GRP","short_name"
1,"FIADEF",33548846.19,1,"012023","Area land"
1,"FIADEF",46696807.24,2,"022020","Area land"
1,"FIADEF",72958623,4,"042021","Area land"
1,"FIADEF",104772999.97,6,"062021","Area land"
1,"FIADEF",3203694.5,9,"092022","Area land"
1,"FIADEF",36057165.1,17,"172022","Area land"
100,"FIADEF",126584234.106608,1,"012023","Carbon pool 3"
100,"FIADEF",156003834.55099,2,"022020","Carbon pool 3"
100,"FIADEF",43115873.4564893,4,"042021","Carbon pool 3"
100,"FIADEF",372272867.334659,6,"062021","Carbon pool 3"
100,"FIADEF",15070851.3446273,9,"092022","Carbon pool 3"
100,"FIADEF",34248074.8055635,17,"172022","Carbon pool 3"
101,"FIADEF",57528677.6451339,1,"012023","Carbon pool 4"
101,"FIADEF",138460214.339585,2,"022020","Carbon pool 4"
101,"FIADEF",34543285.1883247,4,"042021","Carbon pool 4"
101,"FIADEF",138439821.099176,6,"062021","Carbon pool 4"
101,"FIADEF",11045002.0707501,9,"092022","Carbon pool 4"
101,"FIADEF",11473210.2200435,17,"172022","Carbon pool 4"
102,"FIADEF",751360514.171577,1,"012023","Carbon pool 5"
102,"FIADEF",760975317.30975,2,"022020","Carbon pool 5"
102,"FIADEF",751272800.823208,4,"042021","Carbon pool 5"
102,"FIADEF",1516576081.32914,6,"062021","Carbon pool 5"
102,"FIADEF",110930064.469175,9,"092022","Carbon pool 5"
102,"FIADEF",201200749.943383,17,"172022","Carbon pool 5"
103,"FIADEF",1614784019.66177,1,"012023","Total forest carbon"
103,"FIADEF",1540263281.57333,2,"022020","Total forest carbon"
103,"FIADEF",1014554305.43063,4,"042021","Total forest carbon"
103,"FIADEF",3265471113.03735,6,"062021","Total forest carbon"
103,"FIADEF",214590488.412374,9,"092022","Total forest carbon"
103,"FIADEF",427341304.715674,17,"172022","Total forest carbon"
1202,"FIADEF",2482346229.19098,1,"012023","Gross growth volume"
1202,"FIADEF",434650125.867584,2,"022020","Gross growth volume"
1202,"FIADEF",128264410.074065,4,"042021","Gross growth volume"
1202,"FIADEF",1761633525.61279,6,"062021","Gross growth volume"
1202,"FIADEF",102729754.276101,9,"092022","Gross growth volume"
1202,"FIADEF",310717237.437328,17,"172022","Gross growth volume"
124,"FIADEF",281149418.835577,1,"012023","DWM"
124,"FIADEF",175889200.291868,2,"022020","DWM"
124,"FIADEF",72430698.8977924,4,"042021","DWM"
124,"FIADEF",272828820.738515,6,"062021","DWM"
124,"FIADEF",10305262.9712073,9,"092022","DWM"
124,"FIADEF",34557565.5451894,17,"172022","DWM"
127,"FIADEF",22612422.7396175,1,"012023","Area change forest (both)"
127,"FIADEF",11555428.902828,2,"022020","Area change forest (both)"
127,"FIADEF",18033394.7921709,4,"042021","Area change forest (both)"
127,"FIADEF",30647949.2486139,6,"062021","Area change forest (both)"
127,"FIADEF",1722952.69258476,9,"092022","Area change forest (both)"
127,"FIADEF",4638260.53861497,17,"172022","Area change forest (both)"
128,"FIADEF",23506131.1655683,1,"012023","Area change forest (either)"
128,"FIADEF",12139336.4821467,2,"022020","Area change forest (either)"
128,"FIADEF",19459481.3372887,4,"042021","Area change forest (either)"
128,"FIADEF",32946558.1389737,6,"062021","Area change forest (either)"
128,"FIADEF",1791555.64493647,9,"092022","Area change forest (either)"
128,"FIADEF",5053328.21792811,17,"172022","Area change forest (either)"
129,"FIADEF",22508194.5454385,1,"012023","Area change timberland (both)"
129,"FIADEF",5577937.13701683,2,"022020","Area change timberland (both)"
129,"FIADEF",2784258.59271026,4,"042021","Area change timberland (both)"
129,"FIADEF",15854894.381859,6,"062021","Area change timberland (both)"
129,"FIADEF",1687529.81890479,9,"092022","Area change timberland (both)"
129,"FIADEF",4322393.29394734,17,"172022","Area change timberland (both)"
130,"FIADEF",23431845.5163186,1,"012023","area change timberland (either)"
130,"FIADEF",6220856.54912642,2,"022020","area change timberland (either)"
130,"FIADEF",3133929.25915351,4,"042021","area change timberland (either)"
130,"FIADEF",17047342.0743279,6,"062021","area change timberland (either)"
130,"FIADEF",1757775.02992631,9,"092022","area change timberland (either)"
130,"FIADEF",4708288.85910438,17,"172022","area change timberland (either)"
1311,"FIADEF",72977117.2405778,1,"012023","Gross growth biomass"
1311,"FIADEF",9315579.97226882,2,"022020","Gross growth biomass"
1311,"FIADEF",4615739.62183414,4,"042021","Gross growth biomass"
1311,"FIADEF",41039079.3378621,6,"062021","Gross growth biomass"
1311,"FIADEF",3358630.97622601,9,"092022","Gross growth biomass"
1311,"FIADEF",12054167.7618828,17,"172022","Gross growth biomass"
2,"FIADEF",23025021.4186362,1,"012023","FIA Forest"
2,"FIADEF",12023425.8187738,2,"022020","FIA Forest"
2,"FIADEF",19010952.3025707,4,"042021","FIA Forest"
2,"FIADEF",31571007.3447227,6,"062021","FIA Forest"
2,"FIADEF",1776609.00960498,9,"092022","FIA Forest"
2,"FIADEF",4942997.16668075,17,"172022","FIA Forest"
2,"RPADEF",23025021.4186362,1,"012023","RPA Forest"
2,"RPADEF",12023425.8187738,2,"022020","RPA Forest"
2,"RPADEF",10988950.0624278,4,"042021","RPA Forest"
2,"RPADEF",31191761.8040161,6,"062021","RPA Forest"
2,"RPADEF",1776609.00960498,9,"092022","RPA Forest"
2,"RPADEF",4942997.16668075,17,"172022","RPA Forest"
202,"FIADEF",2128043178.00412,1,"012023","Net growth volume"
202,"FIADEF",174495983.328727,2,"022020","Net growth volume"
202,"FIADEF",-3053448.9153519,4,"042021","Net growth volume"
202,"FIADEF",561678563.182611,6,"062021","Net growth volume"
202,"FIADEF",59708637.3081457,9,"092022","Net growth volume"
202,"FIADEF",190243877.871919,17,"172022","Net growth volume"
214,"FIADEF",354303076.032767,1,"012023","Mortality volume"
214,"FIADEF",260154110.049214,2,"022020","Mortality volume"
214,"FIADEF",131317855.303166,4,"042021","Mortality volume"
214,"FIADEF",1199956004.61387,6,"062021","Mortality volume"
214,"FIADEF",43021119.5171051,9,"092022","Mortality volume"
214,"FIADEF",120473372.624263,17,"172022","Mortality volume"
2202,"FIADEF",969401085.813042,1,"012023","Net change volume"
2202,"FIADEF",94063721.7120847,2,"022020","Net change volume"
2202,"FIADEF",-22997290.4400996,4,"042021","Net change volume"
2202,"FIADEF",152868771.118363,6,"062021","Net change volume"
2202,"FIADEF",44733048.5206791,9,"092022","Net change volume"
2202,"FIADEF",132926373.639561,17,"172022","Net change volume"
226,"FIADEF",1158642164.06363,1,"012023","Removals volume"
226,"FIADEF",80432256.3581378,2,"022020","Removals volume"
226,"FIADEF",19943843.1448426,4,"042021","Removals volume"
226,"FIADEF",408809990.383634,6,"062021","Removals volume"
226,"FIADEF",14975591.114423,9,"092022","Removals volume"
226,"FIADEF",57317509.3506195,17,"172022","Removals volume"
2311,"FIADEF",25259016.3758045,1,"012023","Net change biomass"
2311,"FIADEF",2468900.0212223,2,"022020","Net change biomass"
2311,"FIADEF",-419821.276675871,4,"042021","Net change biomass"
2311,"FIADEF",3606623.56655634,6,"062021","Net change biomass"
2311,"FIADEF",1137654.31714737,9,"092022","Net change biomass"
2311,"FIADEF",4494782.66347672,17,"172022","Net change biomass"
238,"FIADEF",1096545534.04102,1,"012023","Harvest volume"
238,"FIADEF",75037988.2242732,2,"022020","Harvest volume"
238,"FIADEF",19807728.1668687,4,"042021","Harvest volume"
238,"FIADEF",392016349.108676,6,"062021","Harvest volume"
238,"FIADEF",5245370.59056518,9,"092022","Harvest volume"
238,"FIADEF",40076654.3086891,17,"172022","Harvest volume"
250,"FIADEF",62096630.0226066,1,"012023","Diversion volume"
250,"FIADEF",5394268.1338646,2,"022020","Diversion volume"
250,"FIADEF",136114.977973896,4,"042021","Diversion volume"
250,"FIADEF",16793641.2749572,6,"062021","Diversion volume"
250,"FIADEF",9730220.52385779,9,"092022","Diversion volume"
250,"FIADEF",17240855.0419304,17,"172022","Diversion volume"
3,"FIADEF",22945027.0357299,1,"012023","Area timberland"
3,"FIADEF",5874144.67770753,2,"022020","Area timberland"
3,"FIADEF",2916225.49334971,4,"042021","Area timberland"
3,"FIADEF",16278149.7769941,6,"062021","Area timberland"
3,"FIADEF",1744413.4251266,9,"092022","Area timberland"
3,"FIADEF",4599272.88373007,17,"172022","Area timberland"
311,"FIADEF",57376904.1446172,1,"012023","Net growth biomass"
311,"FIADEF",3893377.98072667,2,"022020","Net growth biomass"
311,"FIADEF",245070.016282676,4,"042021","Net growth biomass"
311,"FIADEF",12264132.0037459,6,"062021","Net growth biomass"
311,"FIADEF",1684000.81022032,9,"092022","Net growth biomass"
311,"FIADEF",6851689.82713931,17,"172022","Net growth biomass"
335,"FIADEF",15600213.8614897,1,"012023","Mortality biomass"
335,"FIADEF",5422201.39630917,2,"022020","Mortality biomass"
335,"FIADEF",4370669.54689041,4,"042021","Mortality biomass"
335,"FIADEF",28774969.7855859,6,"062021","Mortality biomass"
335,"FIADEF",1674630.26005122,9,"092022","Mortality biomass"
335,"FIADEF",5202478.3872779,17,"172022","Mortality biomass"
369,"FIADEF",32117889.4892652,1,"012023","Removals biomass"
369,"FIADEF",1424477.88498878,2,"022020","Removals biomass"
369,"FIADEF",664891.336973635,4,"042021","Removals biomass"
369,"FIADEF",8657512.43551114,6,"062021","Removals biomass"
369,"FIADEF",546346.565080637,9,"092022","Removals biomass"
369,"FIADEF",2356907.45007298,17,"172022","Removals biomass"
4,"FIADEF",16098161493.4593,1,"012023","Live trees forest"
4,"FIADEF",6528523901.01501,2,"022020","Live trees forest"
4,"FIADEF",3981950168.24869,4,"042021","Live trees forest"
4,"FIADEF",10391482504.8695,6,"062021","Live trees forest"
4,"FIADEF",733483700.354312,9,"092022","Live trees forest"
4,"FIADEF",2038331431.42692,17,"172022","Live trees forest"
403,"FIADEF",30000153.4230159,1,"012023","Harvest biomass"
403,"FIADEF",1306761.60367552,2,"022020","Harvest biomass"
403,"FIADEF",612808.746953196,4,"042021","Harvest biomass"
403,"FIADEF",8217905.31401162,6,"062021","Harvest biomass"
403,"FIADEF",223066.082297379,9,"092022","Harvest biomass"
403,"FIADEF",1579170.67357226,17,"172022","Harvest biomass"
437,"FIADEF",2117736.06624937,1,"012023","Diversion biomass"
437,"FIADEF",117716.281313254,2,"022020","Diversion biomass"
437,"FIADEF",52082.5900204392,4,"042021","Diversion biomass"
437,"FIADEF",439607.121499515,6,"062021","Diversion biomass"
437,"FIADEF",323280.482783258,9,"092022","Diversion biomass"
437,"FIADEF",777736.776500719,17,"172022","Diversion biomass"
45,"FIADEF",29696735718.07,1,"012023","Seedlings forest"
45,"FIADEF",41232104760.6984,2,"022020","Seedlings forest"
45,"FIADEF",7242950857.80463,4,"042021","Seedlings forest"
45,"FIADEF",25217360322.5248,6,"062021","Seedlings forest"
45,"FIADEF",1965851030.07142,9,"092022","Seedlings forest"
45,"FIADEF",8463225776.12541,17,"172022","Seedlings forest"
46,"FIADEF",29578399556.8377,1,"012023","Seedlings timberland"
46,"FIADEF",20511041477.2116,2,"022020","Seedlings timberland"
46,"FIADEF",2195299752.09156,4,"042021","Seedlings timberland"
46,"FIADEF",18022192569.4854,6,"062021","Seedlings timberland"
46,"FIADEF",1910410902.51825,9,"092022","Seedlings timberland"
46,"FIADEF",7880404674.82293,17,"172022","Seedlings timberland"
6,"FIADEF",160905582.423655,1,"012023","Dead trees forest"
6,"FIADEF",480922712.023921,2,"022020","Dead trees forest"
6,"FIADEF",251602634.384629,4,"042021","Dead trees forest"
6,"FIADEF",620124398.05768,6,"062021","Dead trees forest"
6,"FIADEF",28568975.1890756,9,"092022","Dead trees forest"
6,"FIADEF",64783576.8047769,17,"172022","Dead trees forest"
7,"FIADEF",16051642206.2978,1,"012023","Live trees timberland"
7,"FIADEF",2665584651.49708,2,"022020","Live trees timberland"
7,"FIADEF",831963298.542586,4,"042021","Live trees timberland"
7,"FIADEF",6412342610.10312,6,"062021","Live trees timberland"
7,"FIADEF",719256663.685616,9,"092022","Live trees timberland"
7,"FIADEF",1910652344.60037,17,"172022","Live trees timberland"
9,"FIADEF",159969264.374701,1,"012023","Dead trees timberland"
9,"FIADEF",226472407.694999,2,"022020","Dead trees timberland"
9,"FIADEF",69273805.6333723,4,"042021","Dead trees timberland"
9,"FIADEF",366226603.422644,6,"062021","Dead trees timberland"
9,"FIADEF",27215785.4248207,9,"092022","Dead trees timberland"
9,"FIADEF",58256571.4560996,17,"172022","Dead trees timberland"
98,"FIADEF",570005596.575748,1,"012023","Carbon pool 1"
98,"FIADEF",398631863.882676,2,"022020","Carbon pool 1"
98,"FIADEF",156621652.016487,4,"042021","Carbon pool 1"
98,"FIADEF",1038946095.42376,6,"062021","Carbon pool 1"
98,"FIADEF",65620993.4913217,9,"092022","Carbon pool 1"
98,"FIADEF",153748687.961803,17,"172022","Carbon pool 1"
99,"FIADEF",109304997.162704,1,"012023","Carbon pool 2"
99,"FIADEF",86192051.4903325,2,"022020","Carbon pool 2"
99,"FIADEF",29000693.9461255,4,"042021","Carbon pool 2"
99,"FIADEF",199236247.850613,6,"062021","Carbon pool 2"
99,"FIADEF",11923577.0364996,9,"092022","Carbon pool 2"
99,"FIADEF",26670581.7848806,17,"172022","Carbon pool 2"
