"ATTRIBUTE_NBR","FIAorRPA","ESTIMATED_VALUE","STATECD","EVAL_GRP","short_name"
1,"FIADEF",3203694.50000001,9,92022,"Area land"
1,"FIADEF",72958622.9999996,4,42021,"Area land"
1,"FIADEF",46696807.2399979,2,22020,"Area land"
1,"FIADEF",36057165.1000018,17,172022,"Area land"
1,"FIADEF",104772999.970012,6,62021,"Area land"
1,"FIADEF",33548846.1900004,1,12023,"Area land"
100,"FIADEF",126584234.106607,1,12023,"Carbon pool 3"
100,"FIADEF",156003834.55099,2,22020,"Carbon pool 3"
100,"FIADEF",43115873.4564893,4,42021,"Carbon pool 3"
100,"FIADEF",372272867.33466,6,62021,"Carbon pool 3"
100,"FIADEF",15070851.3446273,9,92022,"Carbon pool 3"
100,"FIADEF",34248074.8055635,17,172022,"Carbon pool 3"
101,"FIADEF",57528677.6451338,1,12023,"Carbon pool 4"
101,"FIADEF",138460214.339585,2,22020,"Carbon pool 4"
101,"FIADEF",34543285.1883247,4,42021,"Carbon pool 4"
101,"FIADEF",138439821.099175,6,62021,"Carbon pool 4"
101,"FIADEF",11045002.0707501,9,92022,"Carbon pool 4"
101,"FIADEF",11473210.2200435,17,172022,"Carbon pool 4"
102,"FIADEF",751360514.171576,1,12023,"Carbon pool 5"
102,"FIADEF",760975317.30975,2,22020,"Carbon pool 5"
102,"FIADEF",751272800.823208,4,42021,"Carbon pool 5"
102,"FIADEF",1516576081.32914,6,62021,"Carbon pool 5"
102,"FIADEF",110930064.469175,9,92022,"Carbon pool 5"
102,"FIADEF",201200749.943384,17,172022,"Carbon pool 5"
103,"FIADEF",1614784019.66178,1,12023,"Total forest carbon"
103,"FIADEF",1540263281.57333,2,22020,"Total forest carbon"
103,"FIADEF",1014554305.43064,4,42021,"Total forest carbon"
103,"FIADEF",3265471113.03736,6,62021,"Total forest carbon"
103,"FIADEF",214590488.412374,9,92022,"Total forest carbon"
103,"FIADEF",427341304.715674,17,172022,"Total forest carbon"
1202,"FIADEF",2482346229.19101,1,12023,"Gross growth volume"
1202,"FIADEF",434650125.867584,2,22020,"Gross growth volume"
1202,"FIADEF",128264410.074064,4,42021,"Gross growth volume"
1202,"FIADEF",1761633525.61285,6,62021,"Gross growth volume"
1202,"FIADEF",102729754.276101,9,92022,"Gross growth volume"
1202,"FIADEF",310717237.437327,17,172022,"Gross growth volume"
124,"FIADEF",281149418.835578,1,12023,"DWM"
124,"FIADEF",175889200.291869,2,22020,"DWM"
124,"FIADEF",72430698.8977924,4,42021,"DWM"
124,"FIADEF",272828820.738514,6,62021,"DWM"
124,"FIADEF",10305262.9712073,9,92022,"DWM"
124,"FIADEF",34557565.5451894,17,172022,"DWM"
127,"FIADEF",22612422.7396176,1,12023,"Area change forest (both)"
127,"FIADEF",11555428.9028278,2,22020,"Area change forest (both)"
127,"FIADEF",18033394.7921697,4,42021,"Area change forest (both)"
127,"FIADEF",30647949.2486142,6,62021,"Area change forest (both)"
127,"FIADEF",1722952.69258475,9,92022,"Area change forest (both)"
127,"FIADEF",4638260.53861497,17,172022,"Area change forest (both)"
128,"FIADEF",23506131.1655705,1,12023,"Area change forest (either)"
128,"FIADEF",12139336.4821466,2,22020,"Area change forest (either)"
128,"FIADEF",19459481.3372873,4,42021,"Area change forest (either)"
128,"FIADEF",32946558.1389732,6,62021,"Area change forest (either)"
128,"FIADEF",1791555.64493645,9,92022,"Area change forest (either)"
128,"FIADEF",5053328.21792806,17,172022,"Area change forest (either)"
129,"FIADEF",22508194.545433,1,12023,"Area change timberland (both)"
129,"FIADEF",5577937.13701678,2,22020,"Area change timberland (both)"
129,"FIADEF",2784258.5927103,4,42021,"Area change timberland (both)"
