"attribute_nbr","rpa_filter","short_name","attribute_descr"
1,"N","Area land","Area of sampled and nonsampled land and water, in acres, within U.S. boundary"
2,"N","FIA Forest","Area of forest land, in acres"
2,"Y","RPA Forest","Area of forest land, in acres"
3,"N","Area timberland","Area of timberland, in acres"
4,"N","Live trees forest","Number of live trees (at least 1 inch d.b.h./d.r.c.), in trees, on forest land"
6,"N","Dead trees forest","Number of standing dead trees (at least 5 inches d.b.h./d.r.c.), in trees, on forest land"
7,"N","Live trees timberland","Number of live trees (at least 1 inch d.b.h./d.r.c.), in trees, on timberland"
9,"N","Dead trees timberland","Number of standing dead trees (at least 5 inches d.b.h./d.r.c.), in trees, on timberland"
45,"N","Seedlings forest","Number of live seedlings (less than 1 inch d.b.h./d.r.c.), in seedlings, on forest land"
46,"N","Seedlings timberland","Number of live seedlings (less than 1 inch d.b.h./d.r.c.), in seedlings, on timberland"
98,"N","Carbon pool 1","Forest carbon pool 1: live aboveground, in metric tonnes, on forest land"
99,"N","Carbon pool 2","Forest carbon pool 2: live belowground, in metric tonnes, on forest land"
100,"N","Carbon pool 3","Forest carbon pool 3: dead wood, in metric tonnes, on forest land"
101,"N","Carbon pool 4","Forest carbon pool 4: litter, in metric tonnes, on forest land"
102,"N","Carbon pool 5","Forest carbon pool 5: soil organic, in metric tonnes, on forest land"
103,"N","Total forest carbon","Forest carbon total: all 5 pools, in metric tonnes, on forest land"
124,"N","DWM","Total biomass of DWM (FWD, CWD, and piles), in dry short tons, on forest land"
127,"N","Area change forest (both)","Area change of forest land, in acres, on remeasured conditions where both measurements are forest land"
128,"N","Area change forest (either)","Area change of forest land, in acres, on remeasured conditions where either measurement is forest land"
129,"N","Area change timberland (both)","Area change of timberland, in acres, on remeasured conditions where both measurements are timberland"
130,"N","area change timberland (either)","Area change of timberland, in acres, on remeasured conditions where either measurement is timberland"
202,"N","Net growth volume","Average annual net growth of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
214,"N","Mortality volume","Average annual mortality of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
226,"N","Removals volume","Average annual removals of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
238,"N","Harvest volume","Average annual harvest removals of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
250,"N","Diversion volume","Average annual other removals of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
311,"N","Net growth biomass","Average annual net growth of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
335,"N","Mortality biomass","Average annual mortality of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
369,"N","Removals biomass","Average annual removals of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
403,"N","Harvest biomass","Average annual harvest removals of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
437,"N","Diversion biomass","Average annual other removals of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
1202,"N","Gross growth volume","Average annual gross growth of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
1311,"N","Gross growth biomass","Average annual gross growth of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
2202,"N","Net change volume","Average annual net change of merchantable bole wood volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land"
2311,"N","Net change biomass","Average annual net change of aboveground biomass of trees (at least 1 inch d.b.h./d.r.c.), in dry short tons, on forest land"
