"table_name","column_name","data_type","r_type"
"POP_EVAL_TYP","modified_date","timestamp without time zone","IDate"
"EVALIDATOR_POP_ESTIMATE","growth_acct","character varying","character"
"SITETREE","subp","smallint","double"
"SOILS_SAMPLE_LOC","ltrlrthkn","double precision","double"
"SOILS_LAB","sample_id","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_17","character varying","character"
"PLOT","prev_plot_status_cd_rmrs","smallint","double"
"TREE_GRM_MIDPT","cr","smallint","double"
"REF_PLANT_DICTIONARY","new_symbol","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_25","character varying","character"
"COND","alstk","numeric","double"
"TREE_GRM_BEGIN","diahtcd","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_18","text","character"
"REF_DIFFERENCE_TEST_TOTALS","comment_1","text","character"
"LICHEN_LAB","modified_date","timestamp without time zone","IDate"
"PLOT","nf_plot_status_cd","smallint","double"
"REF_FOREST_TYPE","meaning","character varying","character"
"DWM_VISIT","created_in_instance","character varying","character"
"POP_PLOT_STRATUM_ASSGN","modified_date","timestamp without time zone","IDate"
"TREE_GRM_COMPONENT","subp_component_al_timber","character varying","character"
"REF_NVCS_LEVEL_8_CODES","created_in_instance","character varying","character"
"REF_SPECIES","w_spgrpcd","smallint","double"
"TREE_GRM_COMPONENT","growcfgs_forest","numeric","double"
"DWM_COARSE_WOODY_DEBRIS","length","smallint","double"
"OZONE_VISIT","gridden","smallint","double"
"DWM_DUFF_LITTER_FUEL","dlf_sample_method","character varying","character"
"OZONE_SPECIES_SUMMARY","created_date","timestamp without time zone","IDate"
"SOILS_LAB","invyr","smallint","double"
"TREE_GRM_MIDPT","drybio_bole","double precision","double"
"SEEDLING","modified_date","timestamp without time zone","IDate"
"FIA_REPORTING_LOG","modified_date","timestamp without time zone","IDate"
"EVALIDATOR_LOG","latitude","double precision","double"
"SITETREE","sitetrcd_rmrs","smallint","double"
"REF_NVCS_LEVEL_2_CODES","created_in_instance","character varying","character"
"POP_EVAL_GRP","modified_by","character varying","character"
"GRND_CVR","created_by","character varying","character"
"OZONE_SPECIES_SUMMARY","amnt_min","double precision","double"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_16","character varying","character"
"OZONE_PLOT_SUMMARY","invyr","smallint","double"
"TREE_GRM_THRESHOLD","subptyp","double precision","double"
"DWM_RESIDUAL_PILE","carbon","double precision","double"
"DWM_TRANSECT_SEGMENT","modified_in_instance","character varying","character"
"P2VEG_SUBP_STRUCTURE","created_by","character varying","character"
"TREE_GRM_ESTN","subptyp_grm","smallint","double"
"REF_NVCS_LEVEL_4_CODES","modified_in_instance","character varying","character"
"TREE_GRM_THRESHOLD","volcfsnd_top_bark","double precision","double"
"DWM_DUFF_LITTER_FUEL","created_by","character varying","character"
"TREE_GRM_MIDPT","carbon_bg","double precision","double"
"TREE_GRM_BEGIN","volcfsnd_top_bark","double precision","double"
"COND","fire_srs","smallint","double"
"VEG_PLOT_SPECIES","plot","integer","double"
"OZONE_BIOSITE_SUMMARY","created_date","timestamp without time zone","IDate"
"VEG_VISIT","veg_measday","smallint","double"
"TREE_GRM_COMPONENT","micr_tpamort_unadj_al_timber","numeric","double"
"DWM_VISIT","micr_sample_method","character varying","character"
"PLOT","colocated_cd_rmrs","smallint","double"
