"OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","COMMENTS"
"FS_FIA_REFERENCE","REF_GRND_LYR","CN","NUMBER",22,NA,0,"N",1,"Surrogate primary key"
"FS_FIA_REFERENCE","REF_GRND_LYR","GRND_LYR_CONFIG","VARCHAR2",20,NA,NA,"N",2,"Ground layer configuration name"
"FS_FIA_REFERENCE","REF_GRND_LYR","FUNCTIONAL_GROUP_CD","VARCHAR2",10,NA,NA,"N",3,"Ground layer functional group code"
"FS_FIA_REFERENCE","REF_GRND_LYR","CARBON_PCT","NUMBER",22,5,2,"Y",4,"Percent carbon content"
"FS_FIA_REFERENCE","REF_GRND_LYR","NITROGEN_PCT","NUMBER",22,5,2,"Y",5,"Percent nitrogen content"
"FS_FIA_REFERENCE","REF_GRND_LYR","BULKDENSITY_COEFF_M","NUMBER",22,5,4,"Y",6,"Coefficient m for calculating bulk density"
"FS_FIA_REFERENCE","REF_GRND_LYR","BULKDENSITY_COEFF_A","NUMBER",22,5,4,"Y",7,"Coefficient a for calculating bulk density"
"FS_FIA_REFERENCE","REF_GRND_LYR","BULKDENSITY_COEFF_B","NUMBER",22,6,4,"Y",8,"Coefficient b for calculating bulk density"
"FS_FIADB","SEEDLING","SPCD_ID_CD","NUMBER",22,1,0,"Y",33,"Code indicating if the spcd was determined in the field or from lab analysis"
"FS_FIADB","SOILS_LAB","STATECD","NUMBER",22,4,0,"N",4,"State Code "
"FS_FIADB","SOILS_LAB","COUNTYCD","NUMBER",22,3,0,"N",5,"County Code "
"FS_FIADB","SOILS_LAB","PLOT","NUMBER",22,5,0,"N",6,"P2 Plot Number"
"FS_FIADB","SOILS_LAB","INVYR","NUMBER",22,4,0,"N",3,"Annual Inventory Year"
"FS_FIADB","SOILS_LAB","QASTATCD","NUMBER",22,1,0,"Y",11,"Quality assurance status"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","DIA_2INCH_CLASS","NUMBER",22,2,0,"N",1,"The two inch diameter class of the tree"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","SOFTWOOD","VARCHAR2",1,NA,NA,"N",2,"N = Hardwoods species, Y = Softwood species"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","FACTOR","NUMBER",22,5,4,"Y",3,"The factor to multiply International 1/4 Inch log rule board feet by to produce Doyle log rule board foot volume"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","CREATED_BY","VARCHAR2",30,NA,NA,"Y",4,"Created by"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","CREATED_DATE","DATE",7,NA,NA,"Y",5,"Created Date "
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","CREATED_IN_INSTANCE","VARCHAR2",6,NA,NA,"Y",6,"Created in Instance "
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","MODIFIED_BY","VARCHAR2",30,NA,NA,"Y",7,"Modified by "
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","MODIFIED_DATE","DATE",7,NA,NA,"Y",8,"Modified Date"
"FS_FIADB","REF_INTL_TO_DOYLE_FACTOR","MODIFIED_IN_INSTANCE","VARCHAR2",6,NA,NA,"Y",9,"Modified in Instance "
"FS_FIADB","TREE","VOLTSGRS","NUMBER",22,13,6,"Y",175,"Gross total stem wood cubic foot volume."
"FS_FIADB","TREE","VOLTSGRS_BARK","NUMBER",22,13,6,"Y",176,"Gross total stem bark cubic foot volume."
"FS_FIADB","TREE","VOLTSSND","NUMBER",22,13,6,"Y",177,"Sound total stem wood cubic foot volume."
"FS_FIADB","TREE","VOLTSSND_BARK","NUMBER",22,13,6,"Y",178,"Sound total stem bark cubic foot volume."
"FS_FIADB","TREE","VOLCFGRS_STUMP","NUMBER",22,13,6,"Y",179,"Gross stump wood cubic foot volume for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFGRS_STUMP_BARK","NUMBER",22,13,6,"Y",180,"Gross stump bark cubic foot volume for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFSND_STUMP","NUMBER",22,13,6,"Y",181,"Sound stump wood cubic foot volume for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFSND_STUMP_BARK","NUMBER",22,13,6,"Y",182,"Sound stump bark cubic foot volume for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFGRS_BARK","NUMBER",22,13,6,"Y",183,"Gross cubic-foot bark volume"
"FS_FIADB","TREE","VOLCFGRS_TOP","NUMBER",22,13,6,"Y",184,"Gross cubic-foot wood volume in the 4-inch dob to top for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFGRS_TOP_BARK","NUMBER",22,13,6,"Y",185,"Gross cubic-foot bark volume in the 4-inch dob to top for trees 5 inches and larger."
"FS_FIADB","TREE","VOLCFSND_BARK","NUMBER",22,13,6,"Y",186,"Sound cubic-foot bark volume"
