"TABLE_NAME","CONSTRAINT_NAME","COLUMN_NAME","R_TABLE_NAME","FOREIGN_COL"
"SOILS_SAMPLE_LOC","SSL_PLT_FK","PLT_CN","PLOT","CN"
"VEG_QUADRAT","VQT_VSB_FK","VVT_CN","VEG_SUBPLOT","VVT_CN"
"PLOT","PLT_CTY_FK","CTY_CN","COUNTY","CN"
"SUBP_COND_CHNG_MTRX","CMX_PLT_FK","PREV_PLT_CN","PLOT","CN"
"VEG_QUADRAT","VQT_VSB_FK","PLT_CN","VEG_SUBPLOT","PLT_CN"
"SEEDLING_REGEN","SDLREGEN_SCD_FK","SCD_CN","SUBP_COND","CN"
"VEG_SUBPLOT_SPP","VSS_VPS_FK","VPS_CN","VEG_PLOT_SPECIES","CN"
"SUBP_COND","SCD_SBP_FK","PLT_CN","SUBPLOT","PLT_CN"
"SUBP_COND","SCD_CND_FK","PLT_CN","COND","PLT_CN"
"SUBP_COND","SCD_PLT_FK","PLT_CN","PLOT","CN"
"SUBPLOT_REGEN","SBPREGEN_SBP_FK","SBP_CN","SUBPLOT","CN"
"TREE_GRM_MIDPT","TRE_GRM_MIDPT_FK","TRE_CN","TREE","CN"
"TREE_WOODLAND_STEMS","WOODS_TRE_FK","TRE_CN","TREE","CN"
"INVASIVE_SUBPLOT_SPP","ISS_SCD_FK","PLT_CN","SUBP_COND","PLT_CN"
"INVASIVE_SUBPLOT_SPP","ISS_PLT_FK","PLT_CN","PLOT","CN"
"P2VEG_SUBPLOT_SPP","P2VSSP_SCD_FK","CONDID","SUBP_COND","CONDID"
"VEG_SUBPLOT_SPP","VSS_VPS_FK","PLT_CN","VEG_PLOT_SPECIES","PLT_CN"
"VEG_SUBPLOT_SPP","VSS_VSB_FK","PLT_CN","VEG_SUBPLOT","PLT_CN"
"OZONE_PLOT","NOP_CTY_FK","CTY_CN","COUNTY","CN"
"SUBP_SOIL_SAMPLE_LAYER","SSSLYR_FK2","SSSL_CN","SUBP_SOIL_SAMPLE_LOC","CN"
"OZONE_PLOT","NOP_SRV_FK","SRV_CN","SURVEY","CN"
"VEG_SUBPLOT_SPP","VSS_VPS_FK","VVT_CN","VEG_PLOT_SPECIES","VVT_CN"
"VEG_SUBPLOT_SPP","VSS_VSB_FK","VVT_CN","VEG_SUBPLOT","VVT_CN"
"VEG_SUBPLOT_SPP","VSS_VSB_FK","VSB_CN","VEG_SUBPLOT","CN"
"SUBPLOT","SBP_CND_FK","PLT_CN","COND","PLT_CN"
"SUBPLOT","SBP_CND_FK3","PLT_CN","COND","PLT_CN"
"SUBPLOT","SBP_CND_FK2","PLT_CN","COND","PLT_CN"
"SUBPLOT","SBP_PLT_FK","PLT_CN","PLOT","CN"
"GRND_LYR_MICROQUAD","FGLMP_PLT_FK","PLT_CN","PLOT","CN"
"GRND_LYR_FNCTL_GRP","FGLFGP_PLT_FK","PLT_CN","PLOT","CN"
"SUBPLOT_REGEN","SBPREGEN_PLT_FK","PLT_CN","PLOT","CN"
"PLOT_REGEN","PLTREGEN_PLT_FK","PLT_CN","PLOT","CN"
"INVASIVE_SUBPLOT_SPP","ISS_SCD_FK","SUBP","SUBP_COND","SUBP"
"TREE_GRM_BEGIN","TRE_GRM_BGN_FK","TRE_CN","TREE","CN"
"TREE_WOODLAND_STEMS","WOODS_PLT_FK","PLT_CN","PLOT","CN"
"LICHEN_LAB","LCH_PLT_FK","PLT_CN","PLOT","CN"
