"TABLE_NAME","INDEX_NAME","COLUMN_NAME","UNIQUENESS","CONSTRAINT_TYPE"
"REF_HABTYP_PUBLICATION","RPN_UK","PUB_CD","UNIQUE","U"
"SOILS_EROSION","SEN_PK","CN","UNIQUE","P"
"PLOT_REGEN","PLTREGEN_UK1","STATECD","UNIQUE","U"
"DWM_DUFF_LITTER_FUEL","DDL_NAT_I","COUNTYCD","NONUNIQUE",NA
"COND_DWM_CALC","CDC_UK3","RSCD","UNIQUE","U"
"SOILS_VISIT","SVT_NAT_I","INVYR","NONUNIQUE",NA
"POP_PLOT_STRATUM_ASSGN","PPSA_UK","RSCD","UNIQUE","U"
"GRND_LYR_MICROQUAD","FGLMP_UK","MICROQUAD","UNIQUE","U"
"GRND_LYR_MICROQUAD","FGLMP_UK3","MICROQUAD","UNIQUE","U"
"PLOT","PLT_CTY_FK_I","CTY_CN","NONUNIQUE",NA
"SUBP_SOIL_SAMPLE_LAYER","SSSLYR_PK","CN","UNIQUE","P"
"SDS_BOUNDARY","SDS_BND_NAT_I","SUBPTYP","NONUNIQUE",NA
"VEG_QUADRAT","VQT_UK","VVT_CN","UNIQUE","U"
"REF_MEANS_BFSND_SWHW_NERS","REFMBSWHWNERS_PK","CN","UNIQUE","P"
"DWM_COARSE_WOODY_DEBRIS","DCW_NAT_I","STATECD","NONUNIQUE",NA
"TREE_WOODLAND_STEMS","WOODS_UK2","TREE","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_UK2","PLOT","UNIQUE","U"
"REF_STATE_ELEV","RSE_PK","STATECD","UNIQUE","P"
"VEG_QUADRAT","VQT_UK","PLT_CN","UNIQUE","U"
"GRND_CVR","GRND_CVR_UK_I","GRND_CVR_TYP","NONUNIQUE",NA
"STG_TAXA","STGTX_UK","PARENT_CN","UNIQUE","U"
"INVASIVE_SUBPLOT_SPP","ISS_UK","PLT_CN","UNIQUE","U"
"TREE_GRM_THRESHOLD","TRE_GRM_THRESH_IND2","PREV_TRE_CN","NONUNIQUE",NA
"GRND_LYR_FNCTL_GRP","FGLFGP_UK2","INV_VST_NBR","UNIQUE","U"
"POP_STRATUM","PSM_PK","CN","UNIQUE","P"
"SEEDLING_REGEN","SDLREGEN_UK","CONDID","UNIQUE","U"
"SOILS_SAMPLE_LOC","SSL_NAT_I","SMPLNNBR","NONUNIQUE",NA
"TREE_WOODLAND_STEMS","WOODS_UK","TRE_CN","UNIQUE","U"
"REF_GRM_TYPE","RGT_UK","STATECD","UNIQUE","U"
"REF_GRM_TYPE","RGT_UK","RSCD","UNIQUE","U"
"OZONE_PLOT","NOP_CTY_FK_I","CTY_CN","NONUNIQUE",NA
"REF_NVCS_LEVEL_2_CODES","RNVCSHS2_UK","PRIMARY_CLASS","UNIQUE","U"
"OZONE_PLOT_SUMMARY","OPS_UK","SPLIT_PLOTID","UNIQUE","U"
"TAXA_SCIENTIFIC_NAME_RPT","TXSCINM_TX_CN","TX_CN","NONUNIQUE",NA
"TAXA","TX_TXR_FK","TXR_CN","NONUNIQUE",NA
"ADMIN_APP_PARAMETER","APARM_UK","PARAMETER_NAME","UNIQUE","U"
"REF_LICHEN_SPP_COMMENTS","LCM_UK","SPP_NAME","UNIQUE","U"
"COND_DWM_CALC","CDC_UK2","PLOT","UNIQUE","U"
"DWM_TRANSECT_SEGMENT","DTS_NAT_I","TRANSECT","NONUNIQUE",NA
"SUBP_COND","SCD_NAT_I","STATECD","NONUNIQUE",NA
"DWM_DUFF_LITTER_FUEL","DDL_PK","CN","UNIQUE","P"
"VEG_PLOT_SPECIES","VPS_UK","VEG_FLDSPCD","UNIQUE","U"
"VEG_PLOT_SPECIES","VPS_PK","CN","UNIQUE","P"
"GRND_LYR_FNCTL_GRP","FGLFGP_UK3","TRANSECT","UNIQUE","U"
"PLOT","PLOT_PREV_PLT_CN","PREV_PLT_CN","NONUNIQUE",NA
"VEG_SUBPLOT_SPP","VSS_NAT_I","COUNTYCD","NONUNIQUE",NA
"SDS_BOUNDARY","BND_PLT_FK_I","PLT_CN","NONUNIQUE",NA
"REF_HABTYP_PUBLICATION","RPN_PK","CN","UNIQUE","P"
"REF_LICHEN_SPP_COMMENTS","LCM_PK","CN","UNIQUE","P"
"TREE_WOODLAND_STEMS","WOODS_UK2","PLT_CN","UNIQUE","U"
"TREE_GRM_COMPONENT","TRE_GRM_CMP_IND1","PLT_CN","NONUNIQUE",NA
"PLOT","PLT_UK","STATECD","UNIQUE","U"
"DWM_DUFF_LITTER_FUEL","DDL_NAT_I","STATECD","NONUNIQUE",NA
"LICHEN_VISIT","LVT_NAT_I","INVYR","NONUNIQUE",NA
"SDS_TREE","SDS_TREE_PK_I","TRE_CN","UNIQUE",NA
"REF_MEANS_CULLBF_SPPGRP_NERS","RMCLLSPPN_UK","TREECLCD","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_UK3","COUNTYCD","UNIQUE","U"
"VEG_SUBPLOT","VSB_UK2","CN","UNIQUE","U"
"SUBPLOT","SBP_PK","CN","UNIQUE","P"
"TAXA_FIA_TREE_LIST_ASSGN","TFTLA_UK","TX_CN","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_UK2","SUBCYCLE","UNIQUE","U"
"SITETREE","SIT_UK","TREE","UNIQUE","U"
"P2VEG_SUBP_STRUCTURE","P2VSS_UK3","SUBCYCLE","UNIQUE","U"
"ADMIN_APP_JPATH","AJP_UK","TABLE_NAME","UNIQUE","U"
"DWM_FINE_WOODY_DEBRIS","DFW_UK","TRANSECT","UNIQUE","U"
"OZONE_VALIDATION","OVN_NAT_I","COUNTYCD","NONUNIQUE",NA
"TAXA_FIA_TREE_LIST_EXCLUSION","TFTLE_UK","TTFTLET_CN","UNIQUE","U"
"VEG_SUBPLOT","VSB_NAT_I","PLOT","NONUNIQUE",NA
"VEG_PLOT_SPECIES","VPS_NAT_I","UNIQUE_SP_NBR","NONUNIQUE",NA
"VEG_PLOT_SPECIES","VPS_UK","UNIQUE_SP_NBR","UNIQUE","U"
"SEEDLING_REGEN","SDLREGEN_PK","CN","UNIQUE","P"
"VEG_SUBPLOT","VSB_UK","VVT_CN","UNIQUE","U"
"DWM_TRANSECT_SEGMENT","DTS_UK","PLT_CN","UNIQUE","U"
"DWM_RESIDUAL_PILE","DRP_PK","CN","UNIQUE","P"
"DWM_TRANSECT_SEGMENT","DTS_PK","CN","UNIQUE","P"
"COND_DWM_CALC","CDC_UK2","INVYR","UNIQUE","U"
"SUBPLOT","SBP_NAT_I","STATECD","NONUNIQUE",NA
"P2VEG_SUBP_STRUCTURE","P2VSS_UK3","CONDID","UNIQUE","U"
"REF_TREE_CARBON_RATIO_DEAD","REFTCRD_UK","DECAYCD","UNIQUE","U"
"SEEDLING","SDL_NAT_I","PLOT","NONUNIQUE",NA
"SEEDLING_REGEN","SDLREGEN_PLT_CND_I","PLT_CN","NONUNIQUE",NA
"TAXA_DICTIONARY","TXD_UK","NEW_SYMBOL","UNIQUE","U"
"PLOT_REGEN","PLTREGEN_UK1","COUNTYCD","UNIQUE","U"
"REF_RESERVED_AREA_NAME_ABBR","RRANABBR_PK","CN","UNIQUE","P"
"GRND_LYR_MICROQUAD","FGLMP_UK2","SUBP","UNIQUE","U"
"SUBPLOT","SBP_CND_FK3_I","MACRCOND","NONUNIQUE",NA
"REF_NVCS_LEVEL_3_CODES","RNVCSHS3_UK","PRIMARY_CLASS","UNIQUE","U"
"REF_LICHEN_SPP_COMMENTS","LCM_UK","LICH_SPPCD","UNIQUE","U"
"SUBP_COND","SCD_NAT_I","INVYR","NONUNIQUE",NA
"DWM_DUFF_LITTER_FUEL","DDL_NAT_I","SMPLOCCD","NONUNIQUE",NA
"REF_TAPER_SPGRP_NERS","REFTSPGRPNERS_UK","SPGRP","UNIQUE","U"
"SITETREE","SIT_UK","PLT_CN","UNIQUE","U"
